TIME_STAMP,MODE,LATITUDE,LONGITUDE,DIRECTION,T_LATITUDE,T_LONGITUDE,SERVO_PW,THRUSTER_PW,T_DIRECTION,T_DISTANCE
,AN,0.0,0.0,0.0,35.444509,136.072338,1590.7377721676646,1880,44.26291527798594,14018050.754148468
,AN,0.0,0.0,0.0,35.444509,136.072338,1590.7377721676646,1880,44.26291527798594,14018050.754148468
,AN,0.0,0.0,0.0,35.444509,136.072338,1590.7377721676646,1880,44.26291527798594,14018050.754148468
,AN,0.0,0.0,0.0,35.444509,136.072338,1590.7377721676646,1880,44.26291527798594,14018050.754148468
,AN,0.0,0.0,0.0,35.444509,136.072338,1590.7377721676646,1880,44.26291527798594,14018050.754148468
,AN,0.0,0.0,0.0,35.444509,136.072338,1590.7377721676646,1880,44.26291527798594,14018050.754148468
 9:19:56.0,AN,35.453403333333334,136.06426,44.25769689418382,35.444509,136.072338,1691.307235462221,1880,143.50123262336217,1231.6458222083093
 9:19:56.0,AN,35.453403333333334,136.06426,44.25769689418382,35.444509,136.072338,1691.307235462221,1880,143.50123262336217,1231.6458222083093
 9:19:56.0,AN,35.453403333333334,136.06426,44.25769689418382,35.444509,136.072338,1691.307235462221,1880,143.50123262336217,1231.6458222083093
 9:19:57.0,AN,35.453403333333334,136.06426,44.25769689418382,35.444509,136.072338,1691.307235462221,1880,143.50123262336217,1231.6458222083093
 9:19:57.0,AN,35.453403333333334,136.06426,44.25769689418382,35.444509,136.072338,1691.307235462221,1880,143.50123262336217,1231.6458222083093
 9:19:58.0,AN,35.453403333333334,136.06426,44.25769689418382,35.444509,136.072338,1691.307235462221,1880,143.50123262336217,1231.6458222083093
 9:19:58.0,AN,35.453403333333334,136.06426,44.25769689418382,35.444509,136.072338,1691.307235462221,1880,143.50123262336217,1231.6458222083093
 9:19:59.0,RC,35.453403333333334,136.06426,44.25769689418382,35.444509,136.072338,1468.6925070626396,1100.0,143.50123262336217,1231.6458222083093
 9:19:59.0,RC,35.453403333333334,136.06426,44.25769689418382,35.444509,136.072338,1493.8626970563616,1100.0,143.50123262336217,1231.6458222083093
 9:19:59.0,RC,35.453403333333334,136.06426,44.25769689418382,35.444509,136.072338,1496.962138584682,1100.0,143.50123262336217,1231.6458222083093
 9:20:00.0,RC,35.453405,136.06426166666665,39.16582968249213,35.444509,136.072338,1558.7125505719866,1100.0,143.50123262336217,1231.6458222083093
 9:20:00.0,RC,35.453405,136.06426166666665,39.16582968249213,35.444509,136.072338,1508.746828351702,1200.0,143.50123262336217,1231.6458222083093
 9:20:00.0,RC,35.453405,136.06426166666665,39.16582968249213,35.444509,136.072338,1497.1324375697545,1100.0,143.50123262336217,1231.6458222083093
 9:20:01.0,RC,35.453405,136.06426166666665,39.16582968249213,35.444509,136.072338,1494.3054744175502,1100.0,143.50123262336217,1231.6458222083093
 9:20:01.0,RC,35.453405,136.06426166666665,39.16582968249213,35.444509,136.072338,1524.7208731515068,1100.0,143.50123262336217,1231.6458222083093
 9:20:02.0,RC,35.453406666666666,136.06426166666665,0.0,35.444509,136.072338,1494.1011156354632,1300.0,143.50123262336217,1231.6458222083093
 9:20:02.0,RC,35.453406666666666,136.06426166666665,0.0,35.444509,136.072338,1513.3221944173176,1500.0,143.50123262336217,1231.6458222083093
 9:20:02.0,RC,35.453406666666666,136.06426166666665,0.0,35.444509,136.072338,1538.855688912528,1600.0,143.50123262336217,1231.6458222083093
 9:20:03.0,RC,35.453406666666666,136.06426166666665,0.0,35.444509,136.072338,1538.3788517543248,1600.0,143.50123262336217,1231.6458222083093
 9:20:03.0,RC,35.453406666666666,136.06426166666665,0.0,35.444509,136.072338,1502.712567647298,1700.0,143.50123262336217,1231.6458222083093
 9:20:03.0,RC,35.453406666666666,136.06426166666665,0.0,35.444509,136.072338,1542.6363263811384,1800.0,143.50123262336217,1231.6458222083093
 9:20:04.0,RC,35.453408333333336,136.06426166666665,0.0,35.444509,136.072338,1451.6966683523995,1800.0,143.50123262336217,1231.6458222083093
 9:20:04.0,RC,35.453408333333336,136.06426166666665,0.0,35.444509,136.072338,1541.8870108468193,1900.0,143.50123262336217,1231.6458222083093
 9:20:05.0,RC,35.45341,136.06426166666665,0.0,35.444509,136.072338,1538.991928100586,1900.0,143.50123262336217,1231.6458222083093
 9:20:05.0,RC,35.45341,136.06426166666665,0.0,35.444509,136.072338,1548.76708984375,1900.0,143.50123262336217,1231.6458222083093
 9:20:05.0,RC,35.45341,136.06426166666665,0.0,35.444509,136.072338,1549.312046595982,1900.0,143.50123262336217,1231.6458222083093
 9:20:06.0,RC,35.45341166666667,136.06426166666665,0.0,35.444509,136.072338,1539.3495559692383,1900.0,143.50123262336217,1231.6458222083093
 9:20:06.0,RC,35.45341166666667,136.06426166666665,0.0,35.444509,136.072338,1543.2494027273995,1900.0,143.50123262336217,1231.6458222083093
 9:20:07.0,RC,35.45341166666667,136.06426166666665,0.0,35.444509,136.072338,1553.9782387869698,1900.0,143.50123262336217,1231.6458222083093
 9:20:07.0,RC,35.45341166666667,136.06426166666665,0.0,35.444509,136.072338,1544.9183327811104,1900.0,143.50123262336217,1231.6458222083093
 9:20:07.0,RC,35.45341166666667,136.06426166666665,0.0,35.444509,136.072338,1570.8037785121373,1600.0,143.50123262336217,1231.6458222083093
 9:20:08.0,RC,35.45341333333333,136.06426,320.8341731696005,35.444509,136.072338,1506.260463169643,1200.0,143.50123262336217,1231.6458222083093
