TIME_STAMP,MODE,LATITUDE,LONGITUDE,HEADING,SPEED,T_INDEX,T_LATITUDE,T_LONGITUDE,T_BEARING,T_DISTANCE,SERVO_PW,THR_PW,ERR_BACK,CURRENT,VOLTAGE,POWER
,RC,0.0,0.0,0.0,0.0,0,35.710887,139.761674,0.0,0.0,1660,1110,0.0,12.5,12.2975,170
,AN,0.0,0.0,0.0,0.0,0,35.710887,139.761674,41.942860373760865,14282711.076578123,1525.385750484548,1100,41.942860373760865,15.0,12.29625,180
,RC,0.0,0.0,0.0,0.0,0,35.710887,139.761674,41.942860373760865,14282711.076578123,1660,1110,41.942860373760865,15.0,12.2975,180
END
